"Nombre","Altura","Nac","Sueldo neto","Club","División","Edad","Posición","Valor de traspaso","Vis","Vel","Val","1v1","Lib","Lej","Téc","Tal","Ser","Sq L","Pue","Cór","Saq","SAL","Sac","Res","Rem","Reg","Ref","Fís","Pen","Pas","Mar","Mdo","Lid","JEq","Puñ","Fue","Exc","Equ","Ent","Det","Dmq","Dec","Ctr","Cnc","Com","Col","Cen","Cab","Blo","Ant","Sal2","Aér","Agr","Agi","Ace","Rec","Inf","RM"
"Rubén Vargas","178 cm","SUI","29.000 € p/m","FC Augsburg","Bundesliga","22","ME/MP (DI)","16M € - 20M €","12","14","14","1","11","13","14","15","11","5","2","10","2","3","15","12","12","15","2","14","10","12","6","1","7","12","1","8","2","12","9","14","14","12","14","9","2","8","13","10","4","10","9","3","15","16","14","- - -","Seg",""
"Renato Steffen","170 cm","SUI","93.000 € p/m","VfL Wolfsburg","Bundesliga","29","CR (I), ME/MP (DI)","600m € - 9,2M €","12","15","16","2","7","12","12","12","10","6","2","11","3","3","17","13","12","11","3","13","8","11","9","1","7","17","3","7","2","11","11","17","15","10","11","11","3","12","12","15","2","12","8","3","17","15","14","- - -","Les",""
"Jens Petter Hauge","184 cm","NOR","71.000 € p/m","Eintracht Frankfurt","Bundesliga","21","MP (DIC)","11M € - 13,5M €","14","13","8","2","8","13","14","14","14","6","2","9","2","2","13","13","12","15","3","15","13","13","7","1","9","14","1","12","3","12","7","14","15","11","14","13","1","8","12","10","3","13","11","3","11","13","15","- - -","",""
"Falaye Sacko","179 cm","MLI","8.750 € p/m","AS Saint-Etienne","Ligue 1 Uber Eats","26","DF/CR (D)","3,5M € - 6,6M €","13","16","11","2","9","10","14","13","12","9","3","10","2","1","13","14","8","13","1","15","9","13","11","2","7","11","1","7","2","12","13","12","13","11","12","13","3","10","12","8","3","15","10","1","12","15","17","- - -","",""
"Christoph Zimmermann","194 cm","GER","68.500 € p/m","Norwich","Premier Division inglesa","28","DF (C)","1,8M €","11","12","16","3","4","6","9","4","11","8","2","3","3","3","14","14","7","6","3","8","6","12","14","2","17","15","2","14","1","12","14","13","7","10","11","11","4","14","4","16","1","12","17","2","12","9","12","- - -","Seg",""
"Jacob Bruun Larsen","183 cm","DEN","93.000 € p/m","Hoffenheim","Bundesliga","22","ME/MP (DI)","7,6M € - 11M €","12","14","9","1","11","11","12","12","12","10","2","12","1","4","16","14","10","12","3","16","10","12","7","3","7","15","3","10","2","11","7","11","16","11","11","10","2","9","11","9","1","13","10","1","15","13","14","- - -","",""
"Mads Bech Sørensen","193 cm","DEN","82.000 € p/m","Brentford","Premier Division inglesa","22","DF (IC)","12M € - 18,5M €","12","11","13","1","7","8","12","9","14","19","1","6","2","1","14","14","7","10","2","15","6","13","13","2","12","13","2","14","1","13","14","14","7","13","12","14","3","14","8","13","1","13","16","3","14","11","11","- - -","Les",""
"Bruma","173 cm","POR","51.500 € p/m","PSV","Eredivisie","26","ME/MP (DI)","600m € - 8,6M €","13","16","8","2","10","13","14","17","9","5","1","11","1","3","14","12","12","16","3","12","11","12","6","2","5","12","1","8","3","11","6","13","13","10","13","7","4","7","11","7","3","11","7","3","12","15","16","- - -","",""
"Valentin Mihăilă","180 cm","ROU","40.500 € p/m","Atalanta","Serie A italiana","21","ME/MP (I)","10M € - 12M €","12","16","8","3","8","10","13","11","9","3","1","6","1","2","13","12","11","13","1","12","5","11","6","3","6","10","2","7","2","10","6","13","13","11","12","9","3","5","11","7","2","9","7","2","7","14","15","- - -","",""
"Mikkel Damsgaard","180 cm","DEN","11.750 € p/m","Sampdoria","Serie A italiana","21","ME (DI), MP (DIC)","27M € - 32M €","16","14","12","3","10","12","16","16","11","5","1","12","1","1","12","12","12","15","1","14","12","14","4","1","6","12","3","6","2","12","6","14","15","11","14","12","2","6","13","6","3","12","6","2","10","15","15","- - -","",""
"Martin Kelly","191 cm","ENG","68.500 € p/m","Crystal Palace","Premier Division inglesa","31","DF (DC)","180m € - 1,8M €","13","12","16","2","5","2","12","5","12","6","2","4","4","1","16","14","10","8","1","10","5","11","12","2","10","11","2","13","3","13","14","14","10","13","10","14","3","14","8","12","2","13","13","2","13","13","12","- - -","",""
"Shane Duffy","193 cm","IRL","128.000 € p/m","Brighton","Premier Division inglesa","29","DF (C)","5,6M € - 10M €","7","9","18","3","5","6","8","4","8","7","1","3","2","2","15","16","7","5","2","14","6","9","14","2","15","14","1","16","2","8","16","17","6","14","8","14","2","15","4","16","3","14","18","2","15","8","8","- - -","Seg",""
"Szymon Żurkowski","185 cm","POL","30.000 € p/m","Empoli","Serie A italiana","23","MC, ME/MP (C)","3,6M € - 7M €","12","13","13","3","10","14","14","12","10","10","3","10","1","3","17","15","12","13","1","14","10","13","9","3","10","13","3","14","1","14","11","15","13","13","12","12","3","12","10","8","2","11","12","3","15","12","11","- - -","",""
"Sebastian Walukiewicz","188 cm","POL","29.500 € p/m","Cagliari","Serie A italiana","21","DF (C)","8,4M € - 10M €","10","13","14","2","4","6","10","10","13","11","2","4","3","1","15","15","7","10","2","15","8","12","14","2","6","14","1","15","3","15","13","14","11","12","10","14","1","14","7","14","1","14","14","1","13","11","12","- - -","",""
"Sean Longstaff","180 cm","ENG","68.500 € p/m","Newcastle","Premier Division inglesa","23","MC, ME (C)","9,8M € - 15M €","13","11","13","2","11","13","13","11","13","6","2","11","2","1","16","15","13","13","3","11","5","13","11","2","10","16","1","12","1","13","14","15","14","12","14","11","3","11","11","10","3","13","11","1","11","11","11","- - -","Seg",""
"Angel Gomes","168 cm","ENG","30.500 € p/m","LOSC","Ligue 1 Uber Eats","20","MP (DIC)","9,6M € - 14M €","16","14","6","3","12","13","16","20","14","2","2","11","3","3","6","12","12","15","3","9","11","14","5","3","6","8","1","5","3","10","6","14","12","12","15","7","1","5","12","6","2","10","4","1","8","14","14","- - -","",""
"Junior Messias","179 cm","BRA","9.750 € p/m","Milan","Serie A italiana","30","MP (DC), DL (C)","8,2M € - 12M €","14","13","11","1","11","10","15","16","12","5","3","12","2","1","13","13","12","16","1","15","11","13","4","2","11","13","4","11","2","12","7","19","13","13","13","13","1","8","13","12","2","13","10","2","12","14","14","- - -","",""
"Zito","171 cm","ANG","11.000 € p/m","Cagliari","Serie A italiana","19","MP (DI)","5,4M € - 9,8M €","12","15","8","2","10","8","13","16","12","3","2","12","1","2","10","9","10","13","3","15","10","12","3","1","6","11","2","5","3","11","5","13","12","10","12","8","4","5","11","9","2","9","6","4","10","13","15","- - -","nUE",""
"Tudor Băluţă","191 cm","ROU","25.500 € p/m","Brighton","Premier Division inglesa","22","DF (C), MC","7,6M € - 9M €","13","11","13","2","8","12","9","10","12","6","1","6","2","3","13","13","11","9","3","12","9","12","12","3","9","12","2","14","2","12","12","11","12","13","10","13","3","12","8","11","3","14","13","1","10","12","12","- - -","Est",""
"Andrea Masiello","184 cm","ITA","69.500 € p/m","Genoa","Serie A italiana","35","DF (C)","180m €","8","10","14","3","4","7","11","5","14","5","1","3","3","3","13","12","6","7","1","18","4","11","15","1","14","15","2","13","3","15","14","16","7","13","12","15","3","16","8","14","3","15","12","1","14","11","9","- - -","Seg",""
"Kristoffer Askildsen","190 cm","NOR","9.000 € p/m","Sampdoria","Serie A italiana","20","MC, ME (C)","3,6M € - 7M €","12","11","13","1","10","12","12","13","11","9","3","10","2","4","15","13","10","12","1","11","10","13","13","1","12","14","3","12","2","12","13","11","13","14","12","13","2","13","10","15","2","13","15","2","13","10","12","- - -","",""
"Filippo Bandinelli","180 cm","ITA","61.000 € p/m","Empoli","Serie A italiana","26","ME (C), MP (IC)","30m € - 5,4M €","11","14","14","2","10","13","13","10","12","9","3","11","1","2","14","15","11","12","1","14","10","13","10","1","10","14","3","12","2","12","11","14","14","13","12","12","1","10","12","11","1","13","11","1","14","12","14","- - -","",""
"Phil Bardsley","180 cm","SCO","82.000 € p/m","Burnley","Premier Division inglesa","36","DF (DI)","230m €","6","10","17","1","8","12","11","8","10","13","2","11","3","2","15","15","9","10","3","10","6","11","14","3","17","15","1","14","3","13","15","10","12","14","11","15","3","15","10","13","1","14","12","1","18","12","10","- - -","Trn",""
"Frederic Veseli","183 cm","ALB","52.000 € p/m","Salernitana","Serie A italiana","28","DF (DIC)","95m € - 950m €","7","14","13","1","7","6","9","10","12","8","1","6","2","3","15","15","6","7","1","14","7","10","13","2","12","15","2","14","1","15","12","12","7","12","10","11","3","13","6","14","3","11","14","3","13","11","12","- - -","Les",""
"Giuseppe Pezzella","187 cm","ITA","47.500 € p/m","Atalanta","Serie A italiana","23","DF/CR/ME (I)","8,2M € - 9,8M €","10","14","13","3","8","7","12","8","12","12","1","9","2","3","15","15","7","11","3","15","6","13","12","3","10","15","3","14","3","14","14","17","13","12","12","13","1","12","12","11","3","12","12","4","14","13","14","- - -","",""
"Cucho Hernández","175 cm","COL","55.000 € p/m","Watford","Premier Division inglesa","22","MP (DIC), DL (C)","28M € - 34M €","13","14","13","2","7","13","13","14","13","6","1","7","2","3","15","13","14","12","1","14","15","12","4","4","9","14","2","13","3","15","5","14","13","12","12","14","3","5","10","12","3","13","9","2","7","14","14","- - -","",""
"Ondrej Duda","181 cm","SVK","47.000 € p/m","1. FC Köln","Bundesliga","26","ME/MP (C)","7,4M € - 9M €","16","12","9","3","12","12","16","15","12","4","1","13","1","1","12","16","13","13","3","10","15","12","8","1","6","12","1","11","3","12","8","9","15","10","17","10","4","10","12","8","4","11","8","2","13","13","13","- - -","",""
"Léo Sena","175 cm","BRA","38.500 € p/m","Spezia","Serie A italiana","25","ME/MP (C)","1,4M € - 3M €","13","12","12","1","12","13","13","11","13","5","3","12","1","2","14","12","8","13","1","10","10","13","13","2","13","14","1","12","3","13","12","13","12","12","13","15","1","14","12","10","1","13","8","1","11","12","12","- - -","Les",""
"Anthony Gordon","183 cm","ENG","5.000 € p/m","Everton","Premier Division inglesa","20","MP (DIC), DL (C)","15M € - 22M €","11","13","10","1","12","13","13","15","12","5","2","11","3","4","14","14","11","14","4","10","12","12","8","2","9","11","1","9","3","7","10","15","10","12","13","10","3","6","13","7","3","10","11","2","11","14","15","- - -","Seg",""
"Filippo Romagna","186 cm","ITA","43.000 € p/m","Sassuolo","Serie A italiana","24","DF (C)","550m € - 1,6M €","9","13","11","2","4","5","9","10","12","12","3","4","2","2","14","13","5","6","1","11","4","11","15","2","9","13","1","13","4","13","14","14","5","13","9","12","4","14","6","12","3","14","12","2","13","12","13","- - -","Les",""
"Léo Jardim","188 cm","BRA","46.000 € p/m","LOSC","Ligue 1 Uber Eats","26","POR","275m € - 2,7M €","12","12","12","12","6","3","7","1","13","3","12","3","13","11","11","7","2","3","16","12","4","10","2","12","10","10","9","10","8","12","3","13","2","12","9","13","10","10","2","8","14","14","13","13","8","15","11","- - -","",""
"Woo-yeong Jeong","179 cm","KOR","22.000 € p/m","SC Freiburg","Bundesliga","21","ME/MP (DI)","10,5M € - 15,5M €","13","15","10","3","12","13","14","14","11","5","3","10","3","3","15","12","12","13","2","15","10","12","6","1","5","15","3","7","2","10","8","14","16","11","15","11","3","6","11","8","1","12","9","3","16","14","15","- - -","Seg",""
"David Okereke","182 cm","NGA","46.000 € p/m","Venezia","Serie A italiana","23","MP (D), DL (C)","7,2M € - 10,5M €","11","14","12","1","9","12","14","13","14","4","2","5","3","1","11","12","14","13","3","13","14","12","4","3","9","12","2","14","2","14","6","14","14","11","14","10","1","9","10","11","1","13","11","1","12","15","14","- - -","",""
"Yvon Mvogo","190 cm","SUI","16.500 € p/m","PSV","Eredivisie","27","POR","1,6M € - 3,3M €","9","13","16","14","5","2","10","12","13","2","16","2","13","18","12","12","3","2","15","14","6","8","1","10","13","13","12","15","15","13","2","13","1","9","10","8","11","8","1","7","12","15","15","15","12","16","14","- - -","",""
"Alessandro Deiola","190 cm","ITA","34.500 € p/m","Cagliari","Serie A italiana","25","MC, ME (C)","45m € - 5,4M €","13","13","12","2","6","11","12","10","12","10","2","11","3","3","13","15","11","12","3","12","5","13","13","1","10","14","1","14","1","13","13","10","13","13","12","12","2","13","12","12","2","12","15","2","12","13","13","- - -","",""
"Jonjoe Kenny","176 cm","ENG","41.500 € p/m","Everton","Premier Division inglesa","24","DF/CR (D)","130m € - 5,2M €","10","13","15","2","6","11","11","6","10","12","2","8","3","3","15","16","6","10","2","14","11","8","13","3","13","13","2","12","1","13","14","15","14","12","11","12","1","13","12","10","1","12","9","2","11","12","13","- - -","",""
"Sam Lammers","191 cm","NED","57.500 € p/m","Eintracht Frankfurt","Bundesliga","24","MP (C), DL (C)","300m € - 3M €","13","12","12","3","10","11","13","13","12","7","1","6","2","1","13","13","14","13","3","12","13","11","5","1","7","12","2","12","4","14","5","15","14","11","14","12","2","6","10","13","1","14","14","2","8","14","12","- - -","",""
"Federico Bonazzoli","182 cm","ITA","52.000 € p/m","Salernitana","Serie A italiana","24","DL (C)","240m € - 2,4M €","11","14","16","1","11","11","13","15","13","6","2","8","2","2","15","13","13","11","2","15","12","12","6","2","10","12","3","12","3","14","8","15","14","12","13","11","2","5","11","14","3","12","13","2","13","13","13","- - -","",""
"Alberth Elis","183 cm","HON","22.000 € p/m","Bordeaux","Ligue 1 Uber Eats","25","MP (DI), DL (C)","200m € - 2M €","11","17","12","3","8","8","12","11","11","7","1","7","1","2","11","15","13","12","3","18","13","10","7","3","11","11","3","14","3","10","7","14","13","8","10","11","3","9","9","12","3","10","12","1","14","12","16","- - -","",""
"Jonathan Schmid","180 cm","FRA","38.000 € p/m","SC Freiburg","Bundesliga","31","DF/CR (D), ME/MP (DI)","No a la venta","10","13","14","3","15","10","12","13","10","13","1","13","2","3","16","14","13","12","2","17","10","12","10","1","8","14","1","11","2","15","11","16","14","11","11","12","3","10","14","8","3","12","11","4","16","13","14","- - -","",""
"Evan N'Dicka","192 cm","FRA","24.500 € p/m","Eintracht Frankfurt","Bundesliga","21","DF (IC)","32M € - 47M €","12","16","13","1","4","6","13","8","15","12","2","4","2","1","12","12","6","10","2","15","7","14","12","2","10","14","2","13","2","14","13","13","6","13","12","12","1","12","9","12","2","13","18","2","9","13","13","- - -","",""
"Anthony Modeste","187 cm","FRA","161.000 € p/m","1. FC Köln","Bundesliga","33","DL (C)","No a la venta","11","12","15","1","8","11","13","14","15","8","4","7","2","2","8","10","15","11","3","14","14","10","6","1","8","11","3","16","3","15","6","14","14","14","14","13","3","7","9","17","2","14","16","1","9","11","11","- - -","Les",""
"Marvin Zeegelaar","186 cm","NED","44.000 € p/m","Udinese","Serie A italiana","30","DF (IC), CR (I)","140m € - 1,4M €","9","15","12","3","5","9","12","13","12","11","1","10","3","1","12","13","7","13","3","13","10","12","9","2","5","12","3","14","2","12","12","14","12","12","11","11","2","11","12","11","1","13","13","2","12","15","14","- - -","",""
"Pedro Mendes","186 cm","POR","37.500 € p/m","Montpellier","Ligue 1 Uber Eats","30","DF (C)","240m € - 6,8M €","10","12","15","1","9","11","12","9","12","10","2","7","2","2","14","14","6","11","2","12","6","12","15","3","12","15","3","14","2","15","15","13","12","11","12","12","2","14","7","13","2","13","14","2","18","12","12","- - -","Les",""
"Joshua Brenet","181 cm","NED","12.250 € p/m","FC Twente","Eredivisie","27","DF/CR (DI)","120m € - 1,2M €","11","14","11","1","6","9","12","13","11","13","2","8","2","2","13","13","7","13","2","15","9","11","10","3","7","13","3","10","1","11","11","14","14","12","12","12","1","9","12","9","3","10","11","1","14","13","15","- - -","",""
"Téji Savanier","172 cm","FRA","62.000 € p/m","Montpellier","Ligue 1 Uber Eats","29","ME/MP (C)","19,5M € - 23M €","15","10","12","2","16","16","17","17","13","4","3","16","1","2","16","13","12","16","2","12","14","16","6","2","16","14","2","8","3","12","11","14","12","14","15","13","2","8","14","5","3","13","6","2","14","16","12","- - -","",""
"Wataru Endô","178 cm","JPN","25.500 € p/m","VfB Stuttgart","Bundesliga","28","DF (C), MC, ME (C)","5,4M € - 9,8M €","12","12","15","2","7","8","12","8","13","9","1","8","3","2","15","15","8","11","4","15","8","13","12","1","15","17","3","12","1","12","14","12","13","12","12","15","3","13","10","12","3","14","12","2","15","13","12","- - -","",""
"Frédéric Guilbert","178 cm","FRA","54.000 € p/m","Strasbourg","Ligue 1 Uber Eats","26","DF/CR (D)","5,6M € - 10M €","12","14","13","1","8","11","12","13","12","16","2","5","2","2","16","15","11","12","2","14","8","12","11","2","12","14","3","13","2","13","12","15","13","12","12","14","1","10","14","12","2","13","11","1","13","14","13","- - -","Est",""
"Xeka","186 cm","POR","67.500 € p/m","LOSC","Ligue 1 Uber Eats","26","MC, ME (C)","1M € - 5,2M €","15","11","10","3","9","11","14","14","14","6","1","12","3","3","14","14","8","13","3","12","8","15","9","2","8","15","1","12","1","14","11","15","13","13","15","14","2","14","11","10","2","12","12","1","12","12","11","- - -","",""
"Valentin Rongier","172 cm","FRA","122.000 € p/m","OM","Ligue 1 Uber Eats","26","MC, ME (C)","9,4M € - 14M €","14","13","14","2","11","10","13","11","14","7","2","11","1","1","17","15","9","13","3","12","10","15","13","2","14","16","3","12","2","16","15","16","14","13","14","14","3","13","10","8","3","15","8","2","11","13","12","- - -","",""
"Julian Jeanvier","185 cm","GUI","41.500 € p/m","Brentford","Premier Division inglesa","29","DF (C)","60m € - 600m €","10","13","15","3","5","7","12","8","12","10","3","5","4","4","13","13","7","10","2","15","7","12","12","2","11","13","3","13","2","15","12","15","7","11","12","12","1","13","9","14","2","12","13","2","10","11","12","- - -","Les",""
"Josh Dasilva","184 cm","ENG","95.500 € p/m","Brentford","Premier Division inglesa","22","ME (C)","20M € - 24M €","13","13","11","3","9","14","13","14","14","8","2","8","1","4","13","13","13","13","3","14","10","14","11","3","9","14","1","13","2","12","12","15","13","13","13","13","4","11","12","10","4","14","11","3","12","12","13","- - -","Les",""
"Kenny McLean","183 cm","SCO","95.500 € p/m","Norwich","Premier Division inglesa","29","MC, ME/MP (C)","5,4M € - 9,8M €","15","12","12","2","13","14","14","13","13","9","3","12","2","3","13","14","11","12","3","13","15","14","7","3","10","15","2","11","1","11","10","14","14","12","13","11","1","13","13","12","1","13","12","3","9","12","12","- - -","Les",""
"Tomáš Koubek","198 cm","CZE","52.000 € p/m","FC Augsburg","Bundesliga","28","POR","350m € - 3,4M €","6","12","14","14","2","2","6","15","11","5","10","2","14","11","2","9","1","1","15","13","5","9","6","14","16","14","13","15","11","12","8","15","4","11","7","12","16","12","1","2","10","12","13","16","10","12","12","- - -","",""
"Kevin Akpoguma","192 cm","NGA","47.000 € p/m","Hoffenheim","Bundesliga","26","DF (DIC)","7,2M € - 8,6M €","9","16","15","2","8","11","11","10","11","15","3","5","3","1","13","14","10","9","2","16","10","12","13","4","9","15","2","14","1","15","14","14","10","11","11","12","2","11","9","15","3","13","17","3","12","12","14","- - -","",""
"Lukas Rupp","180 cm","GER","82.000 € p/m","Norwich","Premier Division inglesa","30","MC, ME (DC), MP (D)","350m € - 3,5M €","12","12","10","1","9","12","15","10","13","6","3","10","1","2","17","14","9","12","2","14","9","13","10","2","7","16","2","8","2","11","12","12","13","12","13","12","2","12","13","10","1","13","11","1","14","12","12","- - -","Est",""
"Andrea Cambiaso","181 cm","ITA","10.750 € p/m","Genoa","Serie A italiana","21","DF/CR/ME (DI)","6,2M € - 7,8M €","10","15","12","3","4","9","12","10","9","10","1","4","2","1","14","12","9","13","2","13","5","13","8","3","6","12","3","8","4","10","12","15","12","11","11","12","3","12","13","6","1","11","10","2","11","14","14","- - -","Seg",""
"Ilija Nestorovski","182 cm","MKD","69.500 € p/m","Udinese","Serie A italiana","31","DL (C)","20m € - 200m €","10","13","13","3","8","10","12","13","12","8","2","6","1","2","15","12","14","11","3","14","14","11","8","3","13","15","1","13","2","12","8","15","14","12","11","13","3","6","8","14","3","13","11","2","14","13","13","- - -","Les",""
"Mads Roerslev","184 cm","DEN","55.000 € p/m","Brentford","Premier Division inglesa","22","DF (DC), CR (D)","12,5M € - 15,5M €","13","13","14","1","7","7","14","13","14","9","4","12","1","3","14","13","8","13","2","12","7","14","13","1","9","14","3","11","3","12","13","14","11","12","13","14","1","13","14","12","4","13","12","3","13","13","13","- - -","Est",""
"Ryan Fredericks","181 cm","ENG","109.000 € p/m","West Ham","Premier Division inglesa","28","DF/CR/ME/MP (D)","3,5M €","8","17","10","3","6","7","11","14","11","12","1","5","1","3","14","13","7","14","1","12","6","12","11","2","10","12","3","9","2","10","13","12","14","12","9","12","2","10","14","10","3","12","8","3","14","15","18","- - -","Seg",""
"Aleksa Terzić","184 cm","SRB","34.500 € p/m","Fiorentina","Serie A italiana","21","DF/CR/ME (I)","475m € - 7M €","11","14","13","3","10","9","11","7","11","8","2","12","1","3","13","13","7","11","1","12","10","11","12","2","8","13","3","12","3","12","12","12","12","12","11","13","3","12","12","11","4","12","13","3","10","12","14","- - -","nUE",""
"Jakub Moder","188 cm","POL","41.500 € p/m","Brighton","Premier Division inglesa","22","MC, ME (C)","25M € - 30M €","13","12","11","3","13","14","13","13","13","7","1","13","2","1","14","14","11","11","2","13","12","13","10","1","11","14","3","13","3","11","11","14","14","13","12","13","1","13","10","11","2","13","13","3","9","11","12","- - -","Seg",""
"Kostas Stafylidis","178 cm","GRE","N/D","VfL Bochum","Bundesliga","27","DF/CR (I)","400m € - 4,1M €","12","12","16","2","13","14","12","9","14","14","1","15","1","1","14","14","8","9","2","15","12","13","10","3","13","12","1","13","2","16","16","16","10","14","11","10","1","11","14","10","3","12","10","2","12","12","11","- - -","",""
"Nicola Murru","180 cm","ITA","69.500 € p/m","Sampdoria","Serie A italiana","26","DF/CR/ME (I)","250m € - 2,5M €","9","14","14","1","6","5","13","8","12","14","2","8","2","3","15","15","3","11","1","15","6","12","12","1","7","14","1","13","1","13","14","14","12","13","12","12","3","13","12","9","2","12","8","3","14","13","14","- - -","Seg",""
"Ermin Bičakčić","185 cm","BIH","73.000 € p/m","Hoffenheim","Bundesliga","31","DF (DC)","275m € - 2,8M €","7","14","18","1","4","4","8","5","11","14","2","3","3","3","11","13","8","6","2","12","5","9","16","4","12","15","1","17","2","13","16","16","8","10","8","14","3","13","6","13","1","12","14","3","8","8","11","- - -","Les",""
"Jeff Reine-Adélaïde","184 cm","FRA","84.000 € p/m","OL","Ligue 1 Uber Eats","23","ME (C), MP (DIC)","11,5M € - 17M €","14","14","10","1","10","10","15","15","13","4","3","11","2","2","12","12","11","14","2","10","11","14","10","3","10","12","3","13","2","14","10","16","13","12","14","10","2","9","11","11","2","12","12","3","9","14","15","- - -","Les",""
"Lys Mousset","184 cm","FRA","48.500 € p/m","Salernitana","Serie A italiana","25","MP (D), DL (C)","170m € - 6,8M €","10","16","11","1","5","12","14","13","13","7","4","8","1","1","14","11","13","13","4","14","10","12","8","2","6","11","3","11","1","13","7","12","14","12","12","12","1","13","9","11","4","13","10","2","6","13","16","- - -","Est",""
"Jamal Lewis","178 cm","NIR","136.000 € p/m","Newcastle","Premier Division inglesa","23","DF/CR/ME/MP (I)","12M € - 15M €","10","15","12","3","6","8","13","5","12","5","1","4","2","2","14","16","6","12","3","18","6","12","12","2","2","13","2","10","1","15","12","14","11","11","12","12","4","11","11","11","1","12","10","1","10","13","14","- - -","Seg",""
"Kieran Dowell","178 cm","ENG","82.000 € p/m","Norwich","Premier Division inglesa","23","ME (C), MP (DIC)","6,4M € - 9,4M €","15","10","9","3","15","14","15","14","16","5","4","13","1","3","10","13","10","14","3","12","12","15","7","2","8","13","2","8","2","14","7","13","14","13","14","13","1","6","14","8","3","13","11","1","7","14","11","- - -","",""
"Sebastian Andersson","190 cm","SWE","102.000 € p/m","1. FC Köln","Bundesliga","29","DL (C)","7,4M € - 11M €","10","13","16","4","7","9","10","10","13","5","1","6","1","1","14","15","13","9","2","13","12","10","6","2","12","16","3","17","3","15","7","12","13","15","11","16","2","7","7","16","2","14","17","3","12","12","11","- - -","",""
"Shandon Baptiste","175 cm","GRN","76.500 € p/m","Brentford","Premier Division inglesa","23","MC, ME/MP (C)","12,5M € - 18,5M €","14","13","13","1","9","11","13","12","14","5","2","8","2","2","13","14","11","13","3","14","10","13","9","3","12","13","2","12","3","14","11","15","14","12","14","12","3","12","9","11","2","13","9","1","12","13","13","- - -","Les",""
"Andi Zeqiri","185 cm","SUI","57.500 € p/m","FC Augsburg","Bundesliga","22","ME (I), MP (DI), DL (C)","13M € - 16M €","13","14","8","1","9","11","14","14","13","6","3","7","1","3","14","13","13","14","1","16","13","12","7","3","6","14","3","12","3","13","6","14","14","12","14","12","3","6","10","12","1","13","12","3","9","12","13","- - -","Est",""
"Riccardo Calafiori","188 cm","ITA","69.500 € p/m","Genoa","Serie A italiana","19","DF/CR/ME (I)","5,8M € - 8,6M €","12","13","11","1","7","13","14","13","14","10","2","7","2","4","14","12","9","13","2","12","7","12","12","1","6","13","4","13","2","15","12","14","12","12","14","13","2","13","15","11","3","12","12","1","14","10","12","- - -","",""
"Pietro Terracciano","193 cm","ITA","34.500 € p/m","Fiorentina","Serie A italiana","31","POR","No a la venta","11","9","14","14","9","2","9","8","13","1","15","7","16","12","10","13","2","3","15","13","4","10","2","15","12","13","14","14","8","15","2","13","7","10","9","13","15","14","1","10","14","14","17","14","4","12","10","- - -","",""
"Stefan Posch","189 cm","AUT","54.000 € p/m","Hoffenheim","Bundesliga","24","DF (DC)","5,4M € - 8M €","9","15","14","2","4","6","11","5","16","10","2","4","3","3","10","14","6","9","3","14","9","12","14","3","10","16","1","12","3","11","14","12","6","13","11","12","3","12","8","13","1","14","16","2","8","13","13","- - -","",""
"Christoph Baumgartner","180 cm","AUT","22.000 € p/m","Hoffenheim","Bundesliga","21","ME (C), MP (IC)","9M € - 11M €","15","13","13","2","12","13","15","12","14","5","1","13","3","2","16","12","13","13","4","14","13","13","8","1","8","14","2","9","3","13","9","17","15","11","14","11","2","9","10","11","2","13","10","3","16","13","13","- - -","",""
"Kevin Long","188 cm","IRL","68.500 € p/m","Burnley","Premier Division inglesa","30","DF (DC)","5,2M € - 9,4M €","10","12","14","3","7","6","11","8","11","11","2","4","3","3","14","16","6","8","2","13","10","10","13","3","9","14","3","17","1","12","14","12","9","12","11","14","1","13","4","16","3","8","16","3","17","11","12","- - -","",""
"Sam Byram","181 cm","ENG","82.000 € p/m","Norwich","Premier Division inglesa","27","DF (DI), ME (D)","6M € - 9M €","11","13","11","3","3","8","13","12","14","13","3","5","3","2","15","14","7","12","2","14","5","13","13","3","11","13","1","10","1","13","14","11","13","12","14","12","3","14","12","12","1","13","11","2","11","12","13","- - -","Les",""
"Adam Masina","191 cm","MAR","76.500 € p/m","Watford","Premier Division inglesa","27","DF (IC), CR (I)","6,6M € - 9,6M €","11","13","14","2","9","9","11","12","12","14","3","8","3","2","14","17","8","11","2","14","7","12","12","1","14","13","3","14","1","14","14","14","13","10","11","12","1","10","11","14","3","14","14","3","15","12","13","- - -","Seg",""
"Tommy St. Jago","188 cm","NED","7.250 € p/m","FC Utrecht","Eredivisie","21","DF (C)","6,4M € - 9,6M €","11","12","13","2","4","9","12","11","13","8","1","7","1","3","14","12","7","9","3","13","8","11","13","3","12","14","3","13","3","13","13","14","11","14","11","13","1","13","7","12","2","13","14","1","13","12","12","- - -","",""
"Ruben Aguilar","172 cm","FRA","56.500 € p/m","AS Monaco","Ligue 1 Uber Eats","28","DF/CR (D)","10M € - 14,5M €","12","14","15","1","7","8","13","10","14","12","1","6","3","3","15","15","7","14","1","15","8","13","13","2","8","15","2","12","2","14","14","16","14","13","13","15","2","12","14","9","1","15","7","3","14","13","14","- - -","Seg",""
"Josep Martínez","191 cm","ESP","23.000 € p/m","RB Leipzig","Bundesliga","23","POR","160m € - 6,4M €","11","13","10","13","7","1","10","2","12","2","12","5","12","13","11","8","1","1","15","15","4","11","1","11","14","12","11","9","5","12","3","12","1","11","10","12","11","10","1","1","12","11","15","15","14","14","11","- - -","",""
